Customer_Policy_ID,Customer_ID,Customer_Policy_Type,Customer_Coverage_Amount,Customer_Annual_Premium,Policy_Start_Date,Policy_End_Date,Policy_Duration_Days,Agent_ID,Customer_Policy_Status,Premium_Collected
POL50092,CUST11712,Vehicle,595372.0,39745.2,2023-05-08,2024-03-23,320,AGT5207,Cancelled,34845.107
POL50093,CUST10239,Health,147626.0,12860.0,2022-11-06,2023-07-23,259,AGT5252,Active,9125.315
POL50095,CUST11299,Whole,894760.0,20397.9,2023-06-16,2024-08-16,427,AGT5240,Lapsed,23862.749
POL50097,CUST10212,Vehicle,605134.0,29955.1,2022-02-14,2024-10-17,976,AGT5247,Cancelled,80099.117
POL50098,CUST10216,Property,299788.0,11308.8,2022-12-23,2022-12-31,8,AGT5097,Lapsed,247.864
POL50099,CUST12038,Health,948634.0,16394.0,2023-08-26,2024-07-20,329,AGT5243,Lapsed,14777.058
POL50100,CUST10864,Whole,220165.0,32305.3,2022-03-01,2024-05-31,822,AGT5211,Active,72753.306
POL50102,CUST11340,Vehicle,801682.0,42144.9,2020-09-30,2023-07-30,1033,AGT5286,Lapsed,119275.84
POL50103,CUST11472,Term,515141.0,6681.47,2023-05-07,2024-01-10,248,AGT5038,Cancelled,4539.739
POL50104,CUST11322,Health,380895.0,16737.4,2024-02-03,2024-12-11,312,AGT5038,Active,14307.038
POL50106,CUST11338,Health,342292.0,32354.9,2024-03-22,2024-04-06,15,AGT5080,Active,1329.653
POL50107,CUST11767,Health,490589.0,7958.92,2024-07-03,2025-02-25,237,AGT5061,Active,5167.847
POL50108,CUST10505,Property,954517.0,10718.6,2024-01-11,2025-02-08,394,AGT5107,Lapsed,11570.215
POL50109,CUST10302,Property,837692.0,7476.89,2022-05-29,2024-06-01,734,AGT5203,Lapsed,15035.719
POL50110,CUST12062,Property,885562.0,13814.8,2024-02-18,2024-08-08,172,AGT5298,Active,6509.988
POL50111,CUST12443,Health,915374.0,10366.4,2024-05-06,2025-06-22,412,AGT5125,Cancelled,11701.252
POL50112,CUST10345,Vehicle,601550.0,15764.4,2022-03-28,2023-12-05,617,AGT5104,Active,26648.315
POL50114,CUST12222,Term,149292.0,8591.39,2024-05-31,2024-12-15,198,AGT5286,Cancelled,4660.535
POL50115,CUST11412,Whole,461052.0,3223.38,2024-04-20,2024-11-15,209,AGT5261,Active,1845.716
POL50117,CUST11866,Term,716526.0,9221.38,2022-06-24,2023-03-06,255,AGT5255,Lapsed,6442.334
POL50118,CUST12355,Whole,111528.0,47389.0,2021-09-27,2021-10-12,15,AGT5019,Cancelled,1947.493
POL50119,CUST12084,Property,172333.0,41481.0,2024-03-29,2024-08-23,147,AGT5222,Active,16706.047
POL50120,CUST11673,Property,161995.0,4777.18,2023-03-02,2024-09-18,566,AGT5020,Active,7407.901
POL50121,CUST10749,Property,135123.0,29699.5,2023-07-03,2025-06-14,712,AGT5012,Cancelled,57934.367
POL50123,CUST12105,Term,317422.0,35803.2,2024-01-31,2025-04-30,455,AGT5183,Cancelled,44631.386
POL50124,CUST11191,Term,800533.0,37235.8,2021-06-25,2024-10-14,1207,AGT5148,Cancelled,123133.18
POL50128,CUST11932,Property,543241.0,31294.9,2020-12-09,2023-06-16,919,AGT5135,Lapsed,78794.556
POL50129,CUST10077,Property,791046.0,47015.3,2023-02-27,2023-11-26,272,AGT5156,Active,35036.059
POL50130,CUST11035,Term,645760.0,34304.6,2021-08-21,2022-10-20,425,AGT5252,Lapsed,39943.712
POL50131,CUST10940,Health,167036.0,47731.6,2024-06-14,2025-06-04,355,AGT5242,Active,46423.885
POL50132,CUST11684,Term,197553.0,43641.8,2021-08-24,2024-04-08,958,AGT5149,Cancelled,114544.779
POL50133,CUST10808,Term,927839.0,28296.2,2023-03-28,2023-08-08,133,AGT5269,Lapsed,10310.67
POL50135,CUST10177,Vehicle,293809.0,40343.7,2023-07-31,2023-08-05,5,AGT5099,Cancelled,552.653
POL50136,CUST10654,Term,954055.0,45435.3,2022-12-19,2024-02-09,417,AGT5210,Active,51908.274
POL50140,CUST12478,Health,313985.0,30711.4,2024-06-25,2024-12-06,164,AGT5005,Cancelled,13799.095
POL50141,CUST12434,Whole,100770.0,28049.8,2021-08-29,2024-01-20,874,AGT5158,Active,67165.822
POL50143,CUST11632,Health,141896.0,33263.2,2022-07-18,2023-02-15,212,AGT5085,Cancelled,19319.996
POL50144,CUST11213,Term,343172.0,40924.2,2022-09-20,2024-09-23,734,AGT5096,Lapsed,82296.884
POL50145,CUST12445,Whole,576463.0,28255.8,2024-02-25,2024-10-23,241,AGT5051,Cancelled,18656.569
POL50148,CUST10917,Property,282392.0,44480.7,2024-07-10,2025-03-27,260,AGT5076,Active,31684.882
POL50149,CUST12167,Vehicle,286594.0,21817.9,2023-01-22,2024-05-01,465,AGT5131,Lapsed,27795.407
POL50150,CUST10646,Health,846956.0,36758.2,2023-11-11,2024-07-08,240,AGT5210,Cancelled,24169.775
POL50151,CUST11278,Term,827365.0,12617.4,2020-11-13,2025-02-07,1547,AGT5241,Lapsed,53477.035
POL50152,CUST11629,Vehicle,637674.0,14735.9,2023-09-07,2023-09-25,18,AGT5037,Active,726.702
POL50154,CUST10181,Term,154649.0,41717.7,2023-01-11,2023-06-28,168,AGT5119,Cancelled,19201.572
POL50155,CUST10194,Vehicle,511042.0,19733.1,2022-11-16,2025-07-16,973,AGT5002,Lapsed,52603.579
POL50158,CUST10061,Health,416439.0,32264.5,2022-02-02,2024-02-12,740,AGT5191,Active,65412.959
POL50159,CUST11494,Vehicle,932197.0,7215.28,2024-04-23,2024-11-03,194,AGT5260,Cancelled,3834.971
POL50161,CUST10599,Health,600307.0,24306.4,2021-12-13,2022-10-15,306,AGT5197,Lapsed,20377.42
POL50162,CUST11475,Property,675537.0,25807.4,2022-02-05,2024-01-26,720,AGT5210,Active,50907.748
POL50164,CUST10089,Health,403930.0,33701.2,2023-11-08,2025-03-11,489,AGT5024,Active,45150.375
POL50166,CUST10042,Whole,542633.0,7244.52,2023-11-28,2025-03-22,480,AGT5241,Lapsed,9527.04
POL50167,CUST10766,Vehicle,314855.0,3394.11,2023-09-12,2024-04-07,208,AGT5105,Lapsed,1934.178
POL50168,CUST11267,Health,920609.0,47902.8,2021-09-07,2024-02-18,894,AGT5213,Active,117329.05
POL50169,CUST12360,Vehicle,594550.0,9010.26,2021-02-27,2021-03-02,3,AGT5295,Active,74.057
POL50170,CUST10444,Property,467143.0,36337.3,2022-04-06,2022-11-06,214,AGT5012,Active,21304.609
POL50171,CUST11284,Vehicle,417869.0,16342.6,2023-07-17,2024-02-01,199,AGT5293,Active,8910.075
POL50173,CUST11515,Health,435282.0,4945.44,2023-04-06,2024-07-02,453,AGT5192,Lapsed,6137.765
POL50174,CUST10844,Property,613221.0,37425.6,2021-06-26,2022-06-16,355,AGT5017,Cancelled,36400.241
POL50176,CUST10369,Whole,935852.0,26200.8,2024-04-26,2025-03-28,336,AGT5049,Cancelled,24119.093
POL50178,CUST11033,Whole,103392.0,32972.4,2021-07-31,2021-09-23,54,AGT5254,Lapsed,4878.108
POL50180,CUST12248,Health,245137.0,45961.1,2023-10-24,2024-02-13,112,AGT5111,Active,14103.132
POL50181,CUST11554,Whole,600832.0,30630.9,2021-07-23,2023-10-23,822,AGT5082,Active,68982.465
POL50184,CUST11657,Vehicle,224708.0,49666.7,2020-08-24,2021-12-20,483,AGT5232,Lapsed,65723.332
POL50185,CUST12070,Property,541202.0,21726.8,2021-12-03,2024-12-15,1108,AGT5228,Lapsed,65954.231
POL50187,CUST12048,Health,632551.0,30915.1,2024-06-17,2025-05-27,344,AGT5236,Lapsed,29136.423
POL50188,CUST12341,Health,359351.0,42116.5,2023-02-05,2025-05-29,844,AGT5192,Cancelled,97387.195
POL50189,CUST12396,Health,744031.0,12118.1,2023-10-16,2025-07-18,641,AGT5184,Lapsed,21281.376
POL50191,CUST11273,Health,450764.0,13802.1,2024-03-31,2025-05-11,406,AGT5225,Cancelled,15352.473
POL50192,CUST10372,Whole,712935.0,13651.0,2024-01-10,2024-05-29,140,AGT5208,Active,5236.0
POL50193,CUST11595,Property,829759.0,30656.2,2022-04-09,2025-04-01,1088,AGT5090,Lapsed,91380.673
POL50194,CUST11612,Whole,159712.0,10432.0,2024-01-22,2024-09-10,232,AGT5133,Cancelled,6630.751
POL50195,CUST11085,Property,266305.0,24818.3,2021-11-14,2023-01-23,435,AGT5184,Cancelled,29577.974
POL50196,CUST11154,Whole,599385.0,12540.1,2020-12-12,2024-12-05,1454,AGT5116,Active,49954.261
POL50197,CUST10153,Whole,690452.0,13882.3,2022-03-08,2022-05-02,55,AGT5083,Lapsed,2091.853
POL50199,CUST10117,Property,489075.0,5465.88,2022-08-28,2022-09-01,4,AGT5055,Lapsed,59.9
POL50200,CUST11912,Vehicle,662144.0,24121.1,2023-08-12,2025-03-03,569,AGT5041,Lapsed,37602.482
POL50201,CUST11530,Term,515509.0,30771.1,2021-12-04,2022-06-03,181,AGT5250,Lapsed,15259.093
POL50202,CUST10690,Term,805088.0,21726.3,2022-08-07,2023-12-13,493,AGT5080,Active,29345.386
POL50203,CUST11188,Term,787788.0,29401.1,2024-04-20,2025-07-19,455,AGT5228,Lapsed,36650.686
POL50204,CUST10917,Term,823787.0,34047.8,2023-07-10,2024-10-08,456,AGT5017,Active,42536.43
POL50206,CUST11357,Vehicle,271592.0,20669.8,2024-05-31,2024-11-27,180,AGT5279,Lapsed,10193.326
POL50209,CUST11960,Vehicle,603067.0,3586.06,2023-05-14,2024-05-15,367,AGT5219,Cancelled,3605.71
POL50210,CUST11981,Property,709723.0,4171.61,2023-12-23,2024-12-30,373,AGT5007,Lapsed,4263.043
POL50211,CUST10242,Whole,896720.0,46921.6,2024-01-20,2025-05-13,479,AGT5075,Cancelled,61576.565
POL50212,CUST10401,Vehicle,704530.0,14486.4,2022-04-18,2022-06-18,61,AGT5110,Lapsed,2421.015
POL50213,CUST11419,Health,554720.0,34562.1,2023-12-13,2024-12-14,367,AGT5183,Lapsed,34751.481
POL50214,CUST12340,Vehicle,953248.0,13589.4,2024-03-12,2024-04-21,40,AGT5149,Active,1489.249
POL50215,CUST11576,Whole,476382.0,39052.1,2024-06-01,2024-08-30,90,AGT5121,Lapsed,9629.285
POL50216,CUST11081,Term,890099.0,37235.0,2022-08-28,2024-12-21,846,AGT5229,Active,86303.589
POL50217,CUST11557,Health,797412.0,14442.1,2024-05-14,2025-06-26,408,AGT5295,Cancelled,16143.498
POL50218,CUST11441,Whole,663150.0,26133.1,2022-05-10,2023-06-08,394,AGT5057,Cancelled,28209.428
POL50219,CUST12247,Property,391229.0,23915.6,2022-06-26,2023-08-03,403,AGT5042,Cancelled,26405.443
POL50220,CUST10643,Whole,943944.0,26232.3,2022-04-17,2023-05-11,389,AGT5011,Lapsed,27957.164
POL50221,CUST10805,Term,929518.0,10419.4,2023-03-05,2023-05-10,66,AGT5126,Active,1884.056
POL50222,CUST12471,Vehicle,245834.0,29534.2,2023-06-23,2024-05-10,322,AGT5144,Lapsed,26054.828
POL50223,CUST10243,Vehicle,117809.0,3611.09,2020-08-23,2021-02-11,172,AGT5038,Active,1701.664
POL50224,CUST10274,Property,478792.0,15317.7,2022-07-12,2023-06-01,324,AGT5089,Cancelled,13597.082
POL50225,CUST10809,Property,542602.0,22080.3,2022-10-25,2024-10-20,726,AGT5262,Lapsed,43918.624
POL50226,CUST10692,Vehicle,454739.0,30669.3,2021-04-15,2022-07-03,444,AGT5072,Lapsed,37307.313
POL50228,CUST11508,Whole,581823.0,37021.3,2023-01-03,2024-08-23,598,AGT5116,Cancelled,60654.075
POL50229,CUST10444,Term,108957.0,30366.1,2022-04-21,2023-12-28,616,AGT5249,Lapsed,51247.993
POL50231,CUST11652,Term,380713.0,8907.01,2024-04-08,2024-09-08,153,AGT5170,Active,3733.623
POL50232,CUST11807,Property,746864.0,40497.4,2024-03-14,2025-01-30,322,AGT5124,Active,35726.473
POL50233,CUST11181,Whole,879715.0,21642.7,2023-09-09,2024-06-15,280,AGT5075,Lapsed,16602.619
POL50234,CUST12201,Vehicle,418418.0,11682.2,2023-05-24,2025-02-10,628,AGT5195,Cancelled,20099.785
POL50237,CUST10123,Term,814439.0,17822.4,2023-07-24,2024-02-02,193,AGT5287,Active,9423.899
POL50240,CUST12039,Vehicle,786303.0,7756.59,2022-09-17,2023-03-11,175,AGT5116,Active,3718.913
POL50241,CUST11846,Term,356298.0,9645.58,2021-11-20,2023-07-12,599,AGT5177,Cancelled,15829.322
POL50244,CUST11884,Whole,643036.0,33473.1,2024-01-05,2025-05-07,488,AGT5022,Cancelled,44753.076
POL50246,CUST10425,Property,370444.0,38763.3,2024-07-23,2024-12-27,157,AGT5212,Cancelled,16673.529
POL50247,CUST12047,Whole,408559.0,26190.8,2021-04-02,2022-11-16,593,AGT5040,Lapsed,42551.081
POL50248,CUST10898,Property,156868.0,38217.4,2023-11-20,2024-09-30,315,AGT5019,Active,32982.14
POL50249,CUST11490,Vehicle,814303.0,20736.9,2023-09-21,2024-11-18,424,AGT5293,Cancelled,24088.892
POL50250,CUST11217,Term,582666.0,43611.1,2023-08-10,2024-02-04,178,AGT5213,Lapsed,21267.879
POL50251,CUST11982,Whole,691553.0,20665.9,2023-02-25,2024-07-14,505,AGT5107,Cancelled,28592.547
POL50252,CUST10444,Whole,748754.0,27906.0,2023-08-07,2024-05-25,292,AGT5213,Active,22324.8
POL50253,CUST11922,Whole,878387.0,8412.62,2022-10-20,2022-12-11,52,AGT5278,Active,1198.51
POL50256,CUST11746,Health,960120.0,18208.8,2023-12-04,2023-12-17,13,AGT5060,Lapsed,648.533
POL50258,CUST10076,Property,456314.0,42060.7,2022-04-27,2024-03-12,685,AGT5281,Lapsed,78935.834
POL50259,CUST12195,Vehicle,283469.0,14576.5,2022-12-20,2023-03-09,79,AGT5109,Cancelled,3154.914
POL50260,CUST10896,Property,498184.0,18257.6,2023-10-16,2024-12-09,420,AGT5119,Lapsed,21008.745
POL50261,CUST12063,Property,777589.0,5700.57,2020-07-27,2022-01-14,536,AGT5011,Lapsed,8371.248
POL50262,CUST10583,Property,642497.0,8681.65,2024-03-31,2025-05-19,414,AGT5195,Cancelled,9847.132
POL50264,CUST10256,Health,279971.0,5761.99,2023-05-25,2024-05-23,364,AGT5268,Cancelled,5746.204
POL50265,CUST11705,Vehicle,951085.0,4167.7,2022-08-29,2024-11-12,806,AGT5157,Cancelled,9203.195
POL50268,CUST10250,Term,532270.0,16989.6,2024-05-06,2025-04-04,333,AGT5194,Active,15500.101
POL50270,CUST10743,Term,685886.0,34057.7,2021-09-08,2024-02-16,891,AGT5063,Lapsed,83138.112
POL50272,CUST11273,Vehicle,190510.0,23044.2,2022-12-15,2024-11-26,712,AGT5254,Active,44951.974
POL50273,CUST12163,Property,233638.0,35755.4,2023-06-10,2023-12-07,180,AGT5098,Active,17632.8
POL50274,CUST12276,Vehicle,637348.0,33618.7,2022-09-17,2024-08-20,703,AGT5180,Cancelled,64750.537
POL50276,CUST11546,Property,674161.0,20058.9,2022-04-28,2023-09-09,499,AGT5197,Lapsed,27422.989
POL50278,CUST12394,Property,828783.0,6732.01,2024-03-04,2024-10-18,228,AGT5026,Cancelled,4205.201
POL50279,CUST10616,Whole,653291.0,46977.8,2021-06-11,2021-12-14,186,AGT5073,Active,23939.372
POL50280,CUST10822,Vehicle,609445.0,36484.3,2022-05-08,2023-04-01,328,AGT5210,Cancelled,32785.892
POL50281,CUST11077,Property,360614.0,23179.0,2021-12-29,2023-08-23,602,AGT5256,Lapsed,38229.474
POL50282,CUST10934,Vehicle,575447.0,49115.9,2022-04-11,2024-06-30,811,AGT5022,Cancelled,109131.493
POL50283,CUST10136,Vehicle,953026.0,30719.7,2024-02-15,2024-09-06,204,AGT5244,Cancelled,17169.367
POL50284,CUST10761,Property,123759.0,39608.1,2024-05-03,2024-11-18,199,AGT5229,Cancelled,21594.553
POL50286,CUST10781,Whole,355726.0,5266.64,2023-01-08,2025-05-02,845,AGT5025,Active,12192.632
POL50287,CUST10312,Term,902127.0,24036.5,2024-03-22,2025-01-13,297,AGT5298,Active,19558.467
POL50288,CUST12087,Whole,396060.0,44460.2,2023-10-26,2024-04-12,169,AGT5120,Lapsed,20585.682
POL50289,CUST11832,Health,850087.0,11612.0,2022-07-19,2024-11-18,853,AGT5269,Active,27137.085
POL50293,CUST11806,Term,881723.0,20349.5,2021-11-25,2024-01-20,786,AGT5008,Lapsed,43821.115
POL50294,CUST11863,Whole,573505.0,29478.0,2023-12-16,2024-09-03,262,AGT5140,Active,21159.551
POL50295,CUST12305,Vehicle,240841.0,23464.7,2022-05-27,2023-03-16,293,AGT5209,Lapsed,18836.047
POL50296,CUST11013,Health,155380.0,13182.3,2023-11-13,2023-11-30,17,AGT5154,Active,613.97
POL50297,CUST12196,Whole,997706.0,24203.2,2023-07-30,2024-01-20,174,AGT5042,Active,11537.964
POL50300,CUST11574,Property,915799.0,10276.9,2024-01-20,2024-02-01,12,AGT5161,Lapsed,337.871
POL50301,CUST11544,Vehicle,153079.0,40106.9,2024-01-12,2024-09-04,236,AGT5280,Lapsed,25932.133
POL50302,CUST12151,Term,556416.0,38727.8,2021-12-25,2023-02-01,403,AGT5273,Active,42759.735
POL50303,CUST12335,Property,943419.0,18786.2,2022-05-06,2022-12-27,235,AGT5194,Lapsed,12095.225
POL50305,CUST12082,Property,474474.0,13426.1,2022-06-13,2023-02-04,236,AGT5233,Lapsed,8680.985
POL50306,CUST10441,Property,143896.0,14132.0,2023-09-03,2023-10-14,41,AGT5294,Active,1587.43
POL50307,CUST10238,Property,977377.0,16290.4,2022-12-01,2025-01-02,763,AGT5200,Lapsed,34053.631
POL50309,CUST12335,Health,821441.0,7863.8,2023-12-20,2025-02-23,431,AGT5209,Active,9285.747
POL50310,CUST12027,Property,733674.0,44322.6,2023-10-01,2024-06-04,247,AGT5284,Lapsed,29993.65
POL50312,CUST11045,Vehicle,801427.0,35299.7,2021-07-13,2022-09-14,428,AGT5031,Active,41392.525
POL50313,CUST10876,Whole,115321.0,20681.3,2021-08-13,2022-07-31,352,AGT5282,Cancelled,19944.706
POL50314,CUST12411,Property,945084.0,19624.2,2024-06-30,2025-05-08,312,AGT5086,Lapsed,16774.659
POL50316,CUST10388,Vehicle,823448.0,28674.0,2021-07-19,2025-05-19,1400,AGT5043,Active,109982.466
POL50317,CUST12363,Term,545892.0,19476.8,2024-03-21,2025-05-20,425,AGT5196,Cancelled,22678.466
POL50319,CUST10015,Health,831662.0,11778.6,2024-07-01,2025-03-04,246,AGT5156,Cancelled,7938.454
POL50320,CUST10026,Health,732672.0,32749.7,2024-03-23,2025-02-14,328,AGT5027,Lapsed,29429.867
POL50322,CUST11439,Whole,770842.0,9451.89,2021-08-09,2021-09-19,41,AGT5050,Active,1061.719
POL50323,CUST10870,Health,898270.0,40402.7,2024-07-24,2025-04-20,270,AGT5172,Cancelled,29886.929
POL50325,CUST11909,Property,166753.0,49504.3,2023-10-28,2024-11-03,372,AGT5177,Cancelled,50453.698
POL50326,CUST10990,Whole,306059.0,17703.3,2023-07-30,2024-04-17,262,AGT5299,Cancelled,12707.574
POL50327,CUST10570,Health,134449.0,4535.06,2022-04-01,2022-07-05,95,AGT5058,Cancelled,1180.358
POL50328,CUST10447,Property,668493.0,16290.6,2023-04-28,2024-08-30,490,AGT5073,Cancelled,21869.573
POL50329,CUST11781,Health,146076.0,35795.1,2022-11-01,2024-11-04,734,AGT5239,Active,71982.475
POL50330,CUST12061,Term,350441.0,4522.53,2023-11-24,2025-07-22,606,AGT5212,Active,7508.639
POL50332,CUST11105,Property,715056.0,17923.2,2024-02-10,2024-11-03,267,AGT5174,Lapsed,13110.944
POL50333,CUST11213,Property,439930.0,10726.4,2023-07-24,2024-06-16,328,AGT5270,Active,9639.066
POL50334,CUST12154,Health,897765.0,13807.4,2024-04-12,2024-10-17,188,AGT5237,Active,7111.757
POL50336,CUST11530,Health,194580.0,11853.2,2022-06-12,2023-10-09,484,AGT5273,Active,15717.668
